time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
16,1,2004,0,1,5.875,150000,720,26,74,1.77,10,1,1,6.404101,139.01,9.28,-0.205,0.54,0.29,0.085,68889.69,0.03690171,0.8171897,1.283364,-0.8,-0.2,0.52,3.17,0.09
8,1,2004,0,1,6.0,108000,705,25,80,1.459444,12,0,0,3.947054,136.76,2.51,0.28,0.05,0.14,0.42,31053.9,0.02520404,0.7901693000000001,1.230543,0.1,0.1,-0.14,2.48,-0.85
16,1,2003,0,1,7.0,222000,742,25,80,2.000724,12,0,0,9.032917,121.15,5.18,1.06,-1.23,-0.94,0.12,71483.2,0.05804973,0.9325645,1.081381,0.5,0.3,-0.67,3.08,0.11
7,1,2001,0,1,8.0,100000,733,39,54,0.47913999999999995,12,0,0,2.719052,112.48,4.54,0.88,-0.6,-0.56,0.32,93138.91,0.04177617,0.9935662000000001,1.1424239999999999,0.9,0.3,-0.85,1.27,0.94
13,1,2001,0,1,7.75,171000,737,33,90,1.417224,12,0,0,9.674435,161.95,20.85,0.6,-1.5,-1.1,-0.5,45616.37,0.1012633,1.000745,1.8196970000000001,0.0,0.0,-1.5,0.01,-1.33
24,1,2003,0,1,7.0,163000,779,42,95,4.419325,12,0,0,5.000535,113.82,5.22,1.09,-1.33,-1.21,-0.12,23651.38,0.03104391,0.8832315000000001,1.122619,-0.1,0.1,-1.47,2.68,-0.81
10,1,2001,0,1,8.5,217000,695,25,80,0.7170506999999999,12,0,0,5.152217,122.91,12.51,1.35,-0.83,-0.98,0.37,83414.31,0.08193065,1.000751,1.34804,-0.3,0.2,-1.5,0.01,-1.33
17,1,2003,0,1,7.0,208000,710,36,80,1.460433,12,0,0,15.96471,118.25,11.39,1.1,-0.68,-0.82,0.28,80081.25,0.1292931,1.073106,1.02083,0.9,0.1,-0.99,2.88,-0.51
29,1,2003,0,1,7.95,66000,710,40,90,2.7168639999999997,12,0,0,18.58081,124.05,13.08,2.64,-1.59,-1.84,0.8,16858.83,0.06876192,0.9677118,1.155521,0.2,0.2,-1.59,2.5,-0.93
21,1,2003,0,1,6.5,83000,719,49,89,1.9737349999999998,12,0,0,6.004809,132.97,9.9,0.61,-0.98,-1.29,-0.68,18839.99,0.02954766,0.8552215,1.3002040000000001,0.8,-0.2,0.25,3.37,0.55
32,1,2004,0,1,7.0,120000,697,22,75,2.8745,12,0,0,52.01443,147.31,76.57,1.18,-0.76,-1.14,0.04,126615.5,0.1827595,1.143678,1.373924,-0.7,-0.1,-0.17,2.8,-0.7
25,1,2001,0,1,7.875,218000,682,25,36,2.6373900000000003,12,0,0,23.14181,150.82,47.47,0.855,-1.38,-0.73,0.125,583901.3,0.09605989,1.021179,1.814646,1.4,0.6,-1.07,2.78,3.23
60,1,2004,0,1,7.875,50000,592,16,80,9.94748,12,0,0,19.34712,118.35,24.71,2.065,-2.43,-2.44,-0.375,30522.96,0.03328363,0.7841376999999999,1.2561719999999998,-0.5,0.0,-0.04,2.04,-1.33
24,1,2001,0,1,7.375,155000,676,25,78,2.820555,12,0,0,18.97371,132.92,28.45,0.355,-1.63,-1.04,-0.685,90623.1,0.09059206,1.020175,1.478228,0.8,0.4,-1.07,2.78,3.23
12,1,2002,0,1,7.625,82000,620,44,66,0.8995244000000001,11,1,0,4.100748,139.71,3.86,1.285,-0.32,-0.58,0.705,46412.69,0.04070211,0.9399936,1.328658,1.2,-0.2,-0.59,2.97,1.24
29,1,2003,0,1,7.5,127000,678,18,73,1.964127,12,0,0,7.07057,145.49,14.41,1.61,-0.94,-1.14,0.47,66172.91,0.02481177,0.8624934999999999,1.442918,0.8,-0.5,0.25,3.37,0.55
21,1,2006,0,1,6.25,175000,760,54,66,2.099943,12,0,0,39.520270000000004,236.1,79.96,-0.33,0.71,0.76,0.43,183625.3,0.09319284,1.312325,1.454988,-0.6,-0.1,0.65,0.39,-1.17
4,1,2006,0,1,6.75,80000,806,49,80,0.0,12,0,0,0.6692519,162.77,6.2,0.61,-0.28,-0.3,0.31,23511.44,0.05706136,0.8222049000000001,1.250378,-0.6,-0.3,0.06,-0.34,-1.0
8,1,2006,0,1,5.5,80000,677,10,78,2.921612,12,0,0,1.420991,151.69,-3.63,-1.12,0.65,0.47,-0.65,22446.99,0.02123137,0.6865439,1.292949,-0.2,0.1,0.97,0.39,-0.91
22,1,2002,0,1,8.375,233000,677,31,95,1.5781969999999998,12,0,0,22.1104,145.5,32.19,2.065,-1.22,-0.84,1.225,70201.67,0.1153057,1.044211,1.4530370000000001,0.6,0.0,-0.63,2.36,-0.05
20,1,2003,0,1,7.0,107000,625,32,85,2.148692,12,0,0,16.85442,130.67,10.07,1.09,-1.16,-1.01,0.08,30882.5,0.10299589999999999,1.036869,1.1305969999999999,-0.1,0.0,-1.47,2.68,-0.81
72,0,2005,0,0,6.75,49000,696,45,95,10.07602,12,0,0,21.80394,125.73,36.92,1.22,-1.79,-2.17,-0.95,22662.1,0.05268278,0.7575267,1.368169,0.6,-0.1,-0.73,1.03,-2.43
9,1,2003,0,1,5.875,116000,702,26,80,0.9357759,12,0,0,3.385562,150.97,3.71,-0.445,0.42,0.39,-0.055,33648.79,0.02798113,0.8803488000000002,1.389947,1.4,0.1,0.19,3.5,0.86
