time,label,current_year,default,payoff,int.rate,orig.upb,fico.score,dti.r,ltv.r,bal.repaid,t.act.12m,t.del.30d.12m,t.del.60d.12m,hpi.st.d.t.o,hpi.zip.o,hpi.zip.d.t.o,ppi.c.FRMA,TB10Y.d.t.o,FRMA30Y.d.t.o,ppi.o.FRMA,equity.est,hpi.st.log12m,hpi.r.st.us,hpi.r.zip.st,st.unemp.r12m,st.unemp.r3m,TB10Y.r12m,T10Y3MM,T10Y3MM.r12m
12,1,2001,0,1,8.25,130000,803,49,80,1.100154,12,0,0,2.793841,122.33,5.52,1.22,-0.59,-0.96,0.26,41262.82,0.02721483,0.9687653,1.248437,1.8,0.5,-0.81,1.73,1.64
7,1,2001,0,1,7.0,173000,754,17,51,0.29494190000000003,12,0,0,1.098696,151.29,2.51,-0.02,-0.74,-0.18,-0.2,171357.5,0.03379667,0.968266,1.484413,2.1,0.9,-1.07,2.78,3.23
24,1,2001,0,1,8.125,174000,739,31,80,1.9341380000000001,12,0,0,16.194760000000002,111.74,30.6,1.105,-1.63,-1.04,0.065,106427.8,0.08692269,1.0144090000000001,1.311316,2.0,0.6,-1.07,2.78,3.23
17,1,2005,0,1,6.375,130000,646,41,73,1.6696919999999997,11,1,0,7.707909,157.09,17.4,0.685,-0.12,-0.25,0.435,69977.98,0.05830642,0.8603863000000002,1.37412,-0.6,-0.1,0.09,1.63,-1.52
12,1,2005,0,1,5.5,84000,669,38,80,1.3471899999999999,12,0,0,14.357829999999998,146.24,23.62,-0.16,0.14,0.08,-0.08,39090.75,0.120581,0.9214230999999999,1.2616209999999999,-1.1,-0.4,0.07,1.89,-1.38
42,1,2002,0,1,7.375,81000,700,33,90,8.535556,12,0,0,18.82179,119.01,19.5,1.065,-1.6,-0.92,0.145,30660.46,0.05812837,0.9548865,1.2386,0.5,0.1,-0.63,2.36,-0.05
63,1,2004,0,1,7.0,106000,733,38,69,5.789333,12,0,0,62.17365,114.18,98.38,1.18,-1.62,-1.81,-0.63,184369.1,0.11082089999999999,1.054522,1.414741,-0.9,-0.4,-0.17,2.8,-0.7
8,1,2003,0,1,6.75,126000,695,34,80,0.3877778,12,0,0,4.279042,153.29,2.69,0.84,-0.45,-0.31,0.53,34752.48,0.0687342,0.9552658000000002,1.360062,-0.1,-0.2,-1.47,2.68,-0.81
16,1,2003,0,1,6.875,255000,669,39,95,1.516,12,0,0,25.05001,161.63,36.79,1.565,-1.34,-1.5,0.065,78384.49,0.1455644,1.117004,1.448511,0.3,0.1,-1.59,2.5,-0.93
14,1,2002,0,1,7.125,114000,717,43,80,0.9904386000000001,12,0,0,3.940179,133.7,4.24,0.995,-0.52,-0.51,0.485,34148.17,0.03954683,0.9190889000000001,1.276393,0.7,0.1,-0.6,2.82,0.04
